agent_id,campaign_type
Agent_116,hope
Agent_105,hope
Agent_093,hope
Agent_199,hope
Agent_154,hope
Agent_076,hope
Agent_064,hope
Agent_094,hope
Agent_095,hope
Agent_123,hope
Agent_197,hope
Agent_161,hope
Agent_120,hope
Agent_158,hope
Agent_097,hope
Agent_159,hope
Agent_007,hope
Agent_046,hope
Agent_002,hope
Agent_131,hope
Agent_145,hope
Agent_106,hope
Agent_181,hope
Agent_170,hope
Agent_150,hope
Agent_003,hope
Agent_038,hope
Agent_067,hope
Agent_112,hope
Agent_048,hope
Agent_058,hope
Agent_190,hope
Agent_037,hope
Agent_174,hope
Agent_135,hope
Agent_186,hope
Agent_111,hope
Agent_136,hope
Agent_004,hope
Agent_063,hope
Agent_101,hope
Agent_008,hope
Agent_121,hope
Agent_078,hope
Agent_099,hope
Agent_172,hope
Agent_114,hope
Agent_119,hope
Agent_187,hope
Agent_167,hope
Agent_026,hope
Agent_042,hope
Agent_053,hope
Agent_132,hope
Agent_129,hope
Agent_108,hope
Agent_115,fear
Agent_188,fear
Agent_100,fear
Agent_153,fear
Agent_011,fear
Agent_113,fear
Agent_194,fear
Agent_109,fear
Agent_173,fear
Agent_047,fear
Agent_182,fear
Agent_118,fear
Agent_141,fear
Agent_066,fear
Agent_104,fear
Agent_079,fear
Agent_122,fear
Agent_193,fear
Agent_185,fear
Agent_029,fear
Agent_057,fear
Agent_157,fear
Agent_144,fear
Agent_130,fear
Agent_034,fear
Agent_096,fear
Agent_124,fear
Agent_065,fear
Agent_075,fear
Agent_138,fear
Agent_072,fear
Agent_031,fear
Agent_125,fear
Agent_061,fear
Agent_143,fear
Agent_082,fear
Agent_175,fear
Agent_032,fear
Agent_110,fear
Agent_062,fear
Agent_077,fear
Agent_165,fear
Agent_080,fear
Agent_155,fear
Agent_019,fear
Agent_088,fear
Agent_140,fear
Agent_022,fear
Agent_039,fear
Agent_133,fear
Agent_035,fear
Agent_069,fear
Agent_128,fear
Agent_160,fear
Agent_146,fear
Agent_098,fear
