exposure_id,agent_id,campaign_id,post_id,cascade_depth,exposure_step,responded,action_type,created_at
19,Agent_002,campaign_hope,campaign_campaign_hope_Agent_002,0,400,0,,2025-11-08 01:23:28
26,Agent_003,campaign_hope,campaign_campaign_hope_Agent_003,0,400,0,,2025-11-08 01:23:28
113,Agent_003,campaign_campaign,reshare_6b454591b453,1,406,0,,2025-11-08 01:23:49
117,Agent_003,campaign_campaign,reshare_9fc98ba04e35,1,412,0,,2025-11-08 01:24:10
124,Agent_003,campaign_campaign,reshare_040b06875778,1,433,0,,2025-11-08 01:25:31
39,Agent_004,campaign_hope,campaign_campaign_hope_Agent_004,0,400,0,,2025-11-08 01:23:28
147,Agent_004,campaign_campaign,reshare_e1add6e1bd52,1,889,0,,2025-11-08 01:43:02
148,Agent_004,campaign_campaign,reshare_7a41466fd0da,1,892,0,,2025-11-08 01:43:09
17,Agent_007,campaign_hope,campaign_campaign_hope_Agent_007,0,400,0,,2025-11-08 01:23:28
42,Agent_008,campaign_hope,campaign_campaign_hope_Agent_008,0,400,1,comment,2025-11-08 01:23:28
158,Agent_009,campaign_campaign,reshare_7143dc314448,1,1578,0,,2025-11-08 03:44:12
159,Agent_009,campaign_campaign,reshare_9cda2d198f9a,1,1584,0,,2025-11-08 03:44:25
163,Agent_009,campaign_campaign,reshare_020e0d537523,1,1614,0,,2025-11-08 03:46:32
166,Agent_009,campaign_campaign,reshare_56604f86f444,1,1676,0,,2025-11-08 03:48:47
125,Agent_010,campaign_campaign,reshare_040b06875778,1,433,0,,2025-11-08 01:25:31
128,Agent_010,campaign_campaign,reshare_7ad5a5204d38,1,442,0,,2025-11-08 01:26:04
132,Agent_010,campaign_campaign,reshare_b3fe08fe8160,1,469,0,,2025-11-08 01:27:41
134,Agent_010,campaign_campaign,reshare_9d24dac2929b,1,478,0,,2025-11-08 01:28:00
136,Agent_010,campaign_campaign,reshare_5c66810f32be,1,481,0,,2025-11-08 01:28:06
61,Agent_011,campaign_fear,campaign_campaign_fear_Agent_011,0,400,0,,2025-11-08 01:23:28
101,Agent_019,campaign_fear,campaign_campaign_fear_Agent_019,0,400,0,,2025-11-08 01:23:28
131,Agent_020,campaign_campaign,reshare_7362dd4e29c2,1,445,0,,2025-11-08 01:26:14
114,Agent_021,campaign_campaign,reshare_7e43cd30435b,1,409,0,,2025-11-08 01:24:00
118,Agent_021,campaign_campaign,reshare_3801baa6924c,1,412,0,,2025-11-08 01:24:10
121,Agent_021,campaign_campaign,reshare_8887cd463414,1,415,0,,2025-11-08 01:24:21
126,Agent_021,campaign_campaign,reshare_040b06875778,1,433,0,,2025-11-08 01:25:31
129,Agent_021,campaign_campaign,reshare_7ad5a5204d38,1,442,0,,2025-11-08 01:26:04
133,Agent_021,campaign_campaign,reshare_b3fe08fe8160,1,469,0,,2025-11-08 01:27:41
135,Agent_021,campaign_campaign,reshare_9d24dac2929b,1,478,0,,2025-11-08 01:28:00
137,Agent_021,campaign_campaign,reshare_5c66810f32be,1,481,0,,2025-11-08 01:28:06
138,Agent_021,campaign_campaign,reshare_83b28bcf0da2,1,550,0,,2025-11-08 01:30:46
139,Agent_021,campaign_campaign,reshare_2b38944d3424,1,580,0,,2025-11-08 01:31:53
140,Agent_021,campaign_campaign,reshare_9534f1fc465e,1,589,0,,2025-11-08 01:32:17
141,Agent_021,campaign_campaign,reshare_34cf2af0a5c4,1,601,0,,2025-11-08 01:32:46
142,Agent_021,campaign_campaign,reshare_c4d497647ace,1,607,0,,2025-11-08 01:32:59
104,Agent_022,campaign_fear,campaign_campaign_fear_Agent_022,0,400,0,,2025-11-08 01:23:28
51,Agent_026,campaign_hope,campaign_campaign_hope_Agent_026,0,400,0,,2025-11-08 01:23:28
143,Agent_027,campaign_campaign,reshare_2cea5627bd4d,1,640,0,,2025-11-08 01:34:10
76,Agent_029,campaign_fear,campaign_campaign_fear_Agent_029,0,400,0,,2025-11-08 01:23:28
88,Agent_031,campaign_fear,campaign_campaign_fear_Agent_031,0,400,0,,2025-11-08 01:23:28
94,Agent_032,campaign_fear,campaign_campaign_fear_Agent_032,0,400,0,,2025-11-08 01:23:28
146,Agent_032,campaign_campaign,reshare_9a2dbcdbc4da,1,766,0,,2025-11-08 01:38:37
81,Agent_034,campaign_fear,campaign_campaign_fear_Agent_034,0,400,0,,2025-11-08 01:23:28
144,Agent_034,campaign_campaign,reshare_69a09aa8d5a5,1,721,0,,2025-11-08 01:37:03
145,Agent_034,campaign_campaign,reshare_a7461b3fbbe8,1,721,0,,2025-11-08 01:37:03
107,Agent_035,campaign_fear,campaign_campaign_fear_Agent_035,0,400,0,,2025-11-08 01:23:28
33,Agent_037,campaign_hope,campaign_campaign_hope_Agent_037,0,400,0,,2025-11-08 01:23:28
27,Agent_038,campaign_hope,campaign_campaign_hope_Agent_038,0,400,0,,2025-11-08 01:23:28
105,Agent_039,campaign_fear,campaign_campaign_fear_Agent_039,0,400,0,,2025-11-08 01:23:28
52,Agent_042,campaign_hope,campaign_campaign_hope_Agent_042,0,400,1,comment,2025-11-08 01:23:28
18,Agent_046,campaign_hope,campaign_campaign_hope_Agent_046,0,400,1,comment,2025-11-08 01:23:28
152,Agent_046,campaign_campaign,reshare_44b81bb81ab0,1,1486,0,,2025-11-08 03:40:00
153,Agent_046,campaign_campaign,reshare_45a11d743695,1,1498,0,,2025-11-08 03:40:25
154,Agent_046,campaign_campaign,reshare_165d1707ab19,1,1507,0,,2025-11-08 03:40:46
155,Agent_046,campaign_campaign,reshare_68103ed397fd,1,1552,0,,2025-11-08 03:43:14
156,Agent_046,campaign_campaign,reshare_581c1d5bb37e,1,1561,0,,2025-11-08 03:43:33
157,Agent_046,campaign_campaign,reshare_bae83371a010,1,1564,0,,2025-11-08 03:43:40
160,Agent_046,campaign_campaign,reshare_76d471cbe5d4,1,1585,0,,2025-11-08 03:44:27
161,Agent_046,campaign_campaign,reshare_058da3f30212,1,1597,0,,2025-11-08 03:45:56
162,Agent_046,campaign_campaign,reshare_2de8ae8112dd,1,1612,0,,2025-11-08 03:46:28
164,Agent_046,campaign_campaign,reshare_1f47b88acb48,1,1615,0,,2025-11-08 03:46:35
165,Agent_046,campaign_campaign,reshare_dd56a3b9b6ff,1,1648,0,,2025-11-08 03:47:46
167,Agent_046,campaign_campaign,reshare_4b53bda4f851,1,1699,0,,2025-11-08 04:04:46
169,Agent_046,campaign_campaign,reshare_55883cbd8642,1,1702,0,,2025-11-08 04:04:52
66,Agent_047,campaign_fear,campaign_campaign_fear_Agent_047,0,400,0,,2025-11-08 01:23:28
30,Agent_048,campaign_hope,campaign_campaign_hope_Agent_048,0,400,0,,2025-11-08 01:23:28
53,Agent_053,campaign_hope,campaign_campaign_hope_Agent_053,0,400,0,,2025-11-08 01:23:28
77,Agent_057,campaign_fear,campaign_campaign_fear_Agent_057,0,400,0,,2025-11-08 01:23:28
31,Agent_058,campaign_hope,campaign_campaign_hope_Agent_058,0,400,0,,2025-11-08 01:23:28
